,Normalized PX_LAST,Normalized ipca 1 year ahead,average,median,up-down
2009-01-05,0.6687803972692731,-0.45010915240040333,0.10933562243443487,-0.15207497597711875,1
2009-01-07,0.16342698673689965,-0.4511641550714954,-0.14386858416729786,-0.1519899400324268,1
2009-01-08,0.14097152437986749,-0.45155177086994747,-0.15529012324504,-0.15207497597711875,0
2009-01-09,0.08934910894232434,-0.451939627627977,-0.18129525934282634,-0.1521600119218107,0
2009-01-12,-0.015942449898670857,-0.45837884635811005,-0.23716064812839044,-0.1524701227119925,0
2009-01-14,0.011744645405293942,-0.5109971399652142,-0.24962624727996013,-0.15278023350217432,0
2009-01-15,0.011744645405293942,-0.5486018048565371,-0.26842857972562156,-0.15327812112055395,0
2009-01-16,-0.1877745935415224,-0.725644787741698,-0.4567096906416102,-0.15377600873893357,0
2009-01-19,-0.29839502534403445,-0.5957549648136268,-0.44707499507883064,-0.1545330659919868,0
2009-01-20,-0.2866129943830863,-0.5909937280012562,-0.4388033611921712,-0.15529012324504,0
2009-01-22,-0.14947570765713125,-0.6232825156464017,-0.38637911165176647,-0.15533782275188424,0
2009-01-26,-0.15210688958149254,-0.6145136815059917,-0.38331028554374214,-0.1553855222587285,0
2009-01-27,-0.14353999325243696,-0.6278755016688474,-0.3857077474606422,-0.15611100524561622,0
2009-01-29,-0.22083141060348338,-0.6412805832927763,-0.4310559969481298,-0.1568364882325039,0
2009-02-06,-1.3340691911701086,-0.5847536682618159,-0.9594114297159622,-0.15713845709482172,0
2009-02-12,-1.3258499480346506,-0.5905211797705786,-0.9581855639026147,-0.15744042595713953,0
2009-02-13,-1.3362308767500128,-0.6033250954136,-0.9697779860818064,-0.1583416877227118,0
2009-02-17,-1.2080615877423397,-0.6081791490713788,-0.9081203684068593,-0.15924294948828405,0
2009-02-25,-1.3047942735057747,-0.6138351713932976,-0.9593147224495362,-0.15973032907112888,0
2009-03-03,-1.1726725961820244,-0.647310294887149,-0.9099914455345867,-0.16021770865397372,0
2009-03-05,-1.1996527260828984,-0.6551692084435604,-0.9274109672632294,-0.16029845891361824,0
2009-03-09,-2.72953897810624,-0.6590603887164979,-1.6942996834113688,-0.16037920917326276,0
2009-03-10,-3.1967121875080324,-0.6626398102790088,-1.9296759988935206,-0.16095323612913798,0
2009-03-12,-3.166607413008393,-0.6701937787252094,-1.9184005958668013,-0.1615272630850132,0
2009-03-13,-2.258071413594872,-0.6736826774718958,-1.4658770455333838,-0.1629341096325833,0
2009-03-16,-2.2668721588484706,-0.6771690066632174,-1.4720205827558441,-0.16434095618015343,0
2009-03-17,-2.2365245397450764,-0.913609535181355,-1.5750670374632156,-0.1645033696234388,0
2009-03-18,-2.194970072773049,-0.699440463515628,-1.4472052681443386,-0.1646657830667242,0
2009-03-19,-2.176412505052269,-0.70657284691455,-1.4414926759834095,-0.16541306882509182,0
2009-03-20,-2.1579604915656465,-0.7097962695341814,-1.433878380549914,-0.16616035458345946,0
2009-03-23,-2.1071721314085505,-0.7317933809319798,-1.4194827561702652,-0.16822665088367242,0
2009-03-24,-2.085825381364294,-0.7158566894130324,-1.4008410353886633,-0.17029294718388538,0
2009-03-25,-2.0645905613335076,-0.7265329358709604,-1.395561748602234,-0.17053787745014476,0
2009-03-27,-1.730562377876526,-0.7444177620258378,-1.237490069951182,-0.17078280771640417,0
2009-03-30,-1.6605117113127421,-0.7505495839169997,-1.2055306476148708,-0.17149707606628967,0
2009-04-01,-2.1104786126333224,-0.7469600993988947,-1.4287193560161087,-0.1722113444161752,0
2009-04-02,-2.069886521071445,-0.7473781578939523,-1.4086323394826987,-0.17393928162452874,0
2009-04-03,-2.0230608789764797,-0.7674102233697077,-1.3952355511730936,-0.17566721883288228,0
2009-04-06,-1.862180930067841,-0.7587416982226395,-1.3104613141452401,-0.17709964239587214,0
2009-04-08,-1.8233908640226189,-0.78095237061726,-1.3021716173199394,-0.178532065958862,0
2009-04-09,-1.8033112113951475,-0.7728971625767601,-1.2881041869859537,-0.17991366265084419,0
2009-04-13,-1.708823505708069,-0.7664440912791585,-1.2376337984936137,-0.18129525934282634,0
2009-04-14,-1.6730946176583554,-0.767015998354743,-1.2200553080065493,-0.1820917708525192,0
2009-04-15,-1.6214495996498843,-0.7626887098373858,-1.192069154743635,-0.18288828236221205,0
2009-04-17,-1.6482152915543902,-0.7785079918811407,-1.2133616417177655,-0.18362969129575107,0
2009-04-20,-1.7772407858664911,-0.7703166446976317,-1.2737787152820614,-0.1843711002292901,0
2009-04-22,-1.5899906868752294,-0.7814065072926362,-1.1856985970839329,-0.18442253518943386,0
2009-04-23,-1.5643029019908443,-0.766725938695213,-1.1655144203430288,-0.18447397014957762,0
2009-04-27,-1.4364462932565714,-0.7629656897252547,-1.099705991490913,-0.18556997117443355,0
2009-05-04,-1.15099006520684,-0.7605076939388072,-0.9557488795728237,-0.1866659721992895,0
2009-05-05,-1.2137563892949117,-0.7531198401465657,-0.9834381147207387,-0.1875958672038448,0
2009-05-08,-1.1755113686736065,-0.7451460023503925,-0.9603286855119995,-0.18852576220840012,0
2009-05-11,-0.9501467542391596,-0.745835738944739,-0.8479912465919492,-0.18930956544957983,0
2009-05-13,-1.0057834132246484,-0.7484324418044694,-0.8771079275145589,-0.19009336869075955,0
2009-05-18,-1.0813318477186162,-0.7373229873004195,-0.9093274175095178,-0.19022712839517142,0
2009-05-20,-0.8934571346417307,-0.7503522478329168,-0.8219046912373238,-0.1903608880995833,0
2009-05-21,-0.7470797599136751,-0.7524595383379431,-0.7497696491258091,-0.19091800981708149,0
2009-06-10,0.43453443333207636,-0.7333663001858257,-0.14941593342687468,-0.1903608880995833,1
2009-06-12,0.43453443333207636,-0.7358228880321611,-0.15064422735004238,-0.19022712839517142,1
2009-06-26,0.6769726477255362,-0.7296368700733661,-0.02633211117391493,-0.19009336869075955,1
2009-06-29,0.8631325077708851,-0.7244738828804759,0.06932931244520463,-0.18930956544957983,1
2009-07-01,0.8591941394832757,-0.7216744856068423,0.0687598269382167,-0.18852576220840012,1
2009-07-06,0.9356982361944052,-0.7090794698757465,0.11330938315932931,-0.1875958672038448,1
2009-07-07,0.9333222404764554,-0.7062175858325306,0.11355232732196241,-0.1866659721992895,1
2009-07-08,0.9333222404764554,-0.6866796683007207,0.12332128608786735,-0.18556997117443355,1
2009-07-10,0.8707552248775966,-0.6837220968934571,0.09351656399206976,-0.18447397014957762,1
2009-07-13,0.9333222404764554,-0.6813240705158337,0.12599908498031087,-0.18442253518943386,1
2009-07-15,1.0945478392378987,-0.6761873359380017,0.20918025164994847,-0.1843711002292901,1
2009-07-17,1.0867066450768332,-0.671055695829994,0.2078254746234196,-0.18362969129575107,1
2009-07-20,1.0242552985271451,-0.6683053890103314,0.17797495475840686,-0.18288828236221205,1
2009-07-23,1.4362782432125847,-0.6660605746452861,0.3851088342836493,-0.1820917708525192,1
2009-07-24,1.5707666543850698,-0.6762767973817042,0.4472449285016828,-0.18129525934282634,1
2009-07-31,1.5731869947404615,-0.6976819985373685,0.43775249810154654,-0.17991366265084419,1
2009-08-03,1.5623951665990026,-0.6890284850543924,0.4366833407723051,-0.178532065958862,1
2009-08-05,1.391484635877803,-0.7095194473450038,0.3409825942663996,-0.17709964239587214,1
2009-08-06,1.551576225719603,-0.7112657038353837,0.4201552609421097,-0.17566721883288228,1
2009-08-12,1.3488576121434486,-0.7363648184760678,0.30624639683369037,-0.17393928162452874,1
2009-08-14,1.2059100158186715,-0.737930341594016,0.23398983711232774,-0.1722113444161752,1
2009-08-17,1.3378158800686126,-0.7432232175372914,0.29729633126566063,-0.17149707606628967,1
2009-08-20,1.265344764824766,-0.7464560325128328,0.2594443661559666,-0.17078280771640417,1
2009-08-24,1.3647931950703283,-0.7512787253891299,0.3067572348405992,-0.17053787745014476,1
2009-09-09,0.9333222404764554,-0.747423796105579,0.09294922218543822,-0.17029294718388538,1
2009-09-11,1.19944588487374,-0.7311124239533012,0.23416673046021935,-0.16822665088367242,1
2009-09-14,0.9743454459472615,-0.7268737206361457,0.12373586265555786,-0.16616035458345946,1
2009-09-22,0.7338130090932432,-0.7112489928960418,0.011282008098600693,-0.16541306882509182,1
2009-10-02,0.7245010569263154,-0.7081511533054711,0.00817495181042216,-0.1646657830667242,1
2009-10-09,0.46294379167082383,-0.7090510864684398,-0.123053647398808,-0.1645033696234388,1
2009-10-15,0.18761825444574406,-0.6987423722767129,-0.2555620589154844,-0.1646657830667242,0
2009-10-19,0.10499787216394318,-0.6896302907045461,-0.29231620927030144,-0.16541306882509182,0
2009-10-22,0.23651097278741143,-0.6734325620952774,-0.21846079465393298,-0.16616035458345946,0
2009-10-23,0.23451156770402423,-0.6646320237696804,-0.2150602280328281,-0.16822665088367242,0
2009-10-29,0.21885536640428038,-0.6839316594756896,-0.2325381465357046,-0.17029294718388538,0
2009-10-30,0.156470570389741,-0.6840727560557536,-0.2638010928330063,-0.17053787745014476,0
2009-11-06,-0.15940330417990253,-0.6776453137847175,-0.41852430898231,-0.17078280771640417,0
2009-11-09,-0.15605877384305397,-0.6649946456782053,-0.41052670976062966,-0.17149707606628967,0
2009-11-10,-0.15268568032693267,-0.6770875499466839,-0.41488661513680825,-0.1722113444161752,0
2009-11-13,-0.13773321442659228,-0.6967694102045889,-0.4172513123155906,-0.17393928162452874,0
2009-11-17,-0.22082472517169896,-0.6948619575123507,-0.4578433413420248,-0.17566721883288228,0
2009-11-23,-0.1880073759434174,-0.6942694906916715,-0.4411384333175445,-0.17709964239587214,0
2009-11-25,-0.2286085598099985,-0.6753503748498755,-0.451979467329937,-0.178532065958862,0
2009-12-04,-0.0049337546464485816,-0.6581852041289323,-0.3315594793876905,-0.17991366265084419,0
2009-12-09,-0.13549779688032745,-0.645345185794292,-0.39042149133730975,-0.18129525934282634,0
2009-12-22,-0.27574140893605453,-0.6419065554907772,-0.4588239822134159,-0.1820917708525192,0
